Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","7","Angola","6110","Value US$","22011","Gross National Income","2019","2019","millions","81508.153533","X","International reliable sources",""
"MK","Macro Indicators","7","Angola","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","2561.11227","X","International reliable sources",""
"MK","Macro Indicators","7","Angola","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","-12.427631","Fc","Calculated data",""
"MK","Macro Indicators","7","Angola","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","-15.221963","Fc","Calculated data",""
"MK","Macro Indicators","258","Anguilla","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","376.72963","X","International reliable sources",""
"MK","Macro Indicators","258","Anguilla","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","25336.581453","X","International reliable sources",""
"MK","Macro Indicators","258","Anguilla","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","16.83149","Fc","Calculated data",""
"MK","Macro Indicators","258","Anguilla","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","15.74717","Fc","Calculated data",""
"MK","Macro Indicators","258","Anguilla","6110","Value US$","22011","Gross National Income","2019","2019","millions","368.212796","X","International reliable sources",""
"MK","Macro Indicators","258","Anguilla","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","24763.790187","X","International reliable sources",""
"MK","Macro Indicators","258","Anguilla","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","16.77772","Fc","Calculated data",""
"MK","Macro Indicators","258","Anguilla","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","15.6939","Fc","Calculated data",""
"MK","Macro Indicators","8","Antigua and Barbuda","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1687.533333","X","International reliable sources",""
"MK","Macro Indicators","8","Antigua and Barbuda","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","17376.112907","X","International reliable sources",""
"MK","Macro Indicators","8","Antigua and Barbuda","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","5.08043","Fc","Calculated data",""
"MK","Macro Indicators","8","Antigua and Barbuda","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","4.180217","Fc","Calculated data",""
"MK","Macro Indicators","8","Antigua and Barbuda","6110","Value US$","22011","Gross National Income","2019","2019","millions","1635.046014","X","International reliable sources",""
"MK","Macro Indicators","8","Antigua and Barbuda","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","16835.663977","X","International reliable sources",""
"MK","Macro Indicators","8","Antigua and Barbuda","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","4.860126","Fc","Calculated data",""
"MK","Macro Indicators","8","Antigua and Barbuda","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","3.9618","Fc","Calculated data",""
"MK","Macro Indicators","9","Argentina","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","445445.254556","X","International reliable sources",""
"MK","Macro Indicators","9","Argentina","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","9947.264856","X","International reliable sources",""
"MK","Macro Indicators","9","Argentina","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-13.944717","Fc","Calculated data",""
"MK","Macro Indicators","9","Argentina","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","-14.750924","Fc","Calculated data",""
"MK","Macro Indicators","9","Argentina","6110","Value US$","22011","Gross National Income","2019","2019","millions","427696.368065","X","International reliable sources",""
"MK","Macro Indicators","9","Argentina","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","9550.913401","X","International reliable sources",""
"MK","Macro Indicators","9","Argentina","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","-14.277793","Fc","Calculated data",""
"MK","Macro Indicators","9","Argentina","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","-15.08088","Fc","Calculated data",""
"MK","Macro Indicators","1","Armenia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","13619.290546","X","International reliable sources",""
"MK","Macro Indicators","1","Armenia","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","4604.641377","X","International reliable sources",""
"MK","Macro Indicators","1","Armenia","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","9.322165","Fc","Calculated data",""
"MK","Macro Indicators","1","Armenia","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","9.100914","Fc","Calculated data",""
"MK","Macro Indicators","1","Armenia","6110","Value US$","22011","Gross National Income","2019","2019","millions","13858.276348","X","International reliable sources",""
"MK","Macro Indicators","1","Armenia","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","4685.441762","X","International reliable sources",""
"MK","Macro Indicators","1","Armenia","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","9.322165","Fc","Calculated data",""
"MK","Macro Indicators","1","Armenia","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","9.100914","Fc","Calculated data",""
"MK","Macro Indicators","22","Aruba","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","3310.2045","X","International reliable sources",""
"MK","Macro Indicators","22","Aruba","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","31136.110954","X","International reliable sources",""
"MK","Macro Indicators","22","Aruba","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","3.373146","Fc","Calculated data",""
"MK","Macro Indicators","22","Aruba","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","2.91712","Fc","Calculated data",""
"MK","Macro Indicators","22","Aruba","6110","Value US$","22011","Gross National Income","2019","2019","millions","3147.854452","X","International reliable sources",""
"MK","Macro Indicators","22","Aruba","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","29609.030344","X","International reliable sources",""
"MK","Macro Indicators","22","Aruba","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","5.223599","Fc","Calculated data",""
"MK","Macro Indicators","22","Aruba","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","4.759409","Fc","Calculated data",""
"MK","Macro Indicators","10","Australia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1380207.832899","X","International reliable sources",""
"MK","Macro Indicators","10","Australia","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","54763.202388","X","International reliable sources",""
"MK","Macro Indicators","10","Australia","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-5.397355","Fc","Calculated data",""
"MK","Macro Indicators","10","Australia","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","-6.542375","Fc","Calculated data",""
"MK","Macro Indicators","10","Australia","6110","Value US$","22011","Gross National Income","2019","2019","millions","1351405.73939","X","International reliable sources",""
"MK","Macro Indicators","10","Australia","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","53620.407196","X","International reliable sources",""
"MK","Macro Indicators","10","Australia","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","-4.319581","Fc","Calculated data",""
"MK","Macro Indicators","10","Australia","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","-5.477646","Fc","Calculated data",""
"MK","Macro Indicators","11","Austria","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","445011.872704","X","International reliable sources",""
"MK","Macro Indicators","11","Austria","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","49693.668783","X","International reliable sources",""
"MK","Macro Indicators","11","Austria","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-2.231325","Fc","Calculated data",""
"MK","Macro Indicators","11","Austria","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","-2.926932","Fc","Calculated data",""
"MK","Macro Indicators","11","Austria","6110","Value US$","22011","Gross National Income","2019","2019","millions","443403.031107","X","International reliable sources",""
"MK","Macro Indicators","11","Austria","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","49514.012359","X","International reliable sources",""
"MK","Macro Indicators","11","Austria","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","-1.621804","Fc","Calculated data",""
"MK","Macro Indicators","11","Austria","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","-2.321747","Fc","Calculated data",""
"MK","Macro Indicators","52","Azerbaijan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","48174.235294","X","International reliable sources",""
"MK","Macro Indicators","52","Azerbaijan","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","4794.54492","X","International reliable sources",""
"MK","Macro Indicators","52","Azerbaijan","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","2.253662","Fc","Calculated data",""
"MK","Macro Indicators","52","Azerbaijan","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","1.254493","Fc","Calculated data",""
"MK","Macro Indicators","52","Azerbaijan","6110","Value US$","22011","Gross National Income","2019","2019","millions","46318.529412","X","International reliable sources",""
"MK","Macro Indicators","52","Azerbaijan","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","4609.855632","X","International reliable sources",""
"MK","Macro Indicators","52","Azerbaijan","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","3.267199","Fc","Calculated data",""
"MK","Macro Indicators","52","Azerbaijan","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","2.258126","Fc","Calculated data",""
"MK","Macro Indicators","12","Bahamas","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","13164.429143","X","International reliable sources",""
"MK","Macro Indicators","12","Bahamas","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","33799.839641","X","International reliable sources",""
"MK","Macro Indicators","12","Bahamas","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","2.543882","Fc","Calculated data",""
"MK","Macro Indicators","12","Bahamas","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","1.53156","Fc","Calculated data",""
"MK","Macro Indicators","12","Bahamas","6110","Value US$","22011","Gross National Income","2019","2019","millions","12542.24504","X","International reliable sources",""
"MK","Macro Indicators","12","Bahamas","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","32202.374025","X","International reliable sources",""
"MK","Macro Indicators","12","Bahamas","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","4.494836","Fc","Calculated data",""
"MK","Macro Indicators","12","Bahamas","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","3.463254","Fc","Calculated data",""
"MK","Macro Indicators","13","Bahrain","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","38473.717598","X","International reliable sources",""
"MK","Macro Indicators","13","Bahrain","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","23442.830854","X","International reliable sources",""
"MK","Macro Indicators","13","Bahrain","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","2.176909","Fc","Calculated data",""
"MK","Macro Indicators","13","Bahrain","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","-2.288644","Fc","Calculated data",""
"MK","Macro Indicators","13","Bahrain","6110","Value US$","22011","Gross National Income","2019","2019","millions","36213.079301","X","International reliable sources",""
"MK","Macro Indicators","13","Bahrain","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","22065.377243","X","International reliable sources",""
"MK","Macro Indicators","13","Bahrain","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","1.789812","Fc","Calculated data",""
"MK","Macro Indicators","13","Bahrain","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","-2.658823","Fc","Calculated data",""
"MK","Macro Indicators","16","Bangladesh","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","301051.101806","X","International reliable sources",""
"MK","Macro Indicators","16","Bangladesh","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","1846.416377","X","International reliable sources",""
"MK","Macro Indicators","16","Bangladesh","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","11.654402","Fc","Calculated data",""
"MK","Macro Indicators","16","Bangladesh","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","10.511157","Fc","Calculated data",""
"MK","Macro Indicators","16","Bangladesh","6110","Value US$","22011","Gross National Income","2019","2019","millions","314503.412217","X","International reliable sources",""
"MK","Macro Indicators","16","Bangladesh","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","1928.922523","X","International reliable sources",""
"MK","Macro Indicators","16","Bangladesh","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","11.556332","Fc","Calculated data",""
"MK","Macro Indicators","16","Bangladesh","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","10.414091","Fc","Calculated data",""
"MK","Macro Indicators","14","Barbados","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","5297.95","X","International reliable sources",""
"MK","Macro Indicators","14","Barbados","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","18458.148245","X","International reliable sources",""
"MK","Macro Indicators","14","Barbados","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","3.41701","Fc","Calculated data",""
"MK","Macro Indicators","14","Barbados","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","3.278652","Fc","Calculated data",""
"MK","Macro Indicators","14","Barbados","6110","Value US$","22011","Gross National Income","2019","2019","millions","5115.969283","X","International reliable sources",""
"MK","Macro Indicators","14","Barbados","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","17824.124318","X","International reliable sources",""
"MK","Macro Indicators","14","Barbados","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","4.602774","Fc","Calculated data",""
"MK","Macro Indicators","14","Barbados","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","4.462829","Fc","Calculated data",""
"MK","Macro Indicators","57","Belarus","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","64410.169473","X","International reliable sources",""
"MK","Macro Indicators","57","Belarus","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","6814.152439","X","International reliable sources",""
"MK","Macro Indicators","57","Belarus","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","7.294783","Fc","Calculated data",""
"MK","Macro Indicators","57","Belarus","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","7.297121","Fc","Calculated data",""
"MK","Macro Indicators","57","Belarus","6110","Value US$","22011","Gross National Income","2019","2019","millions","62499.821046","X","International reliable sources",""
"MK","Macro Indicators","57","Belarus","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","6612.050729","X","International reliable sources",""
"MK","Macro Indicators","57","Belarus","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","8.016848","Fc","Calculated data",""
"MK","Macro Indicators","57","Belarus","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","8.019202","Fc","Calculated data",""
"MK","Macro Indicators","255","Belgium","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","535288.71524","X","International reliable sources",""
"MK","Macro Indicators","255","Belgium","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","46388.205209","X","International reliable sources",""
"MK","Macro Indicators","255","Belgium","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-1.469808","Fc","Calculated data",""
"MK","Macro Indicators","255","Belgium","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","-1.957791","Fc","Calculated data",""
"MK","Macro Indicators","255","Belgium","6110","Value US$","22011","Gross National Income","2019","2019","millions","540431.91698","X","International reliable sources",""
"MK","Macro Indicators","255","Belgium","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","46833.91589","X","International reliable sources",""
"MK","Macro Indicators","255","Belgium","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","-1.395843","Fc","Calculated data",""
"MK","Macro Indicators","255","Belgium","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","-1.884193","Fc","Calculated data",""
"MK","Macro Indicators","23","Belize","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1945.250235","X","International reliable sources",""
"MK","Macro Indicators","23","Belize","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","4983.310582","X","International reliable sources",""
"MK","Macro Indicators","23","Belize","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","3.061514","Fc","Calculated data",""
"MK","Macro Indicators","23","Belize","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","1.138911","Fc","Calculated data",""
"MK","Macro Indicators","23","Belize","6110","Value US$","22011","Gross National Income","2019","2019","millions","1789.926033","X","International reliable sources",""
"MK","Macro Indicators","23","Belize","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","4585.403551","X","International reliable sources",""
"MK","Macro Indicators","23","Belize","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","4.762233","Fc","Calculated data",""
"MK","Macro Indicators","23","Belize","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","2.807903","Fc","Calculated data",""
"MK","Macro Indicators","53","Benin","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","14391.686309","X","International reliable sources",""
"MK","Macro Indicators","53","Benin","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","1219.515479","X","International reliable sources",""
"MK","Macro Indicators","53","Benin","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","0.906426","Fc","Calculated data",""
"MK","Macro Indicators","53","Benin","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","-1.796465","Fc","Calculated data",""
"MK","Macro Indicators","53","Benin","6110","Value US$","22011","Gross National Income","2019","2019","millions","14248.20188","X","International reliable sources",""
"MK","Macro Indicators","53","Benin","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","1207.356967","X","International reliable sources",""
"MK","Macro Indicators","53","Benin","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","0.927438","Fc","Calculated data",""
"MK","Macro Indicators","53","Benin","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","-1.776016","Fc","Calculated data",""
"MK","Macro Indicators","17","Bermuda","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","7484.113","X","International reliable sources",""
"MK","Macro Indicators","17","Bermuda","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","119734.313506","X","International reliable sources",""
"MK","Macro Indicators","17","Bermuda","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","3.595975","Fc","Calculated data",""
"MK","Macro Indicators","17","Bermuda","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","4.010319","Fc","Calculated data",""
"MK","Macro Indicators","17","Bermuda","6110","Value US$","22011","Gross National Income","2019","2019","millions","7386.901","X","International reliable sources",""
"MK","Macro Indicators","17","Bermuda","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","118179.070809","X","International reliable sources",""
"MK","Macro Indicators","17","Bermuda","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","1.695867","Fc","Calculated data",""
"MK","Macro Indicators","17","Bermuda","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","2.102611","Fc","Calculated data",""
"MK","Macro Indicators","18","Bhutan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","2530.559003","X","International reliable sources",""
"MK","Macro Indicators","18","Bhutan","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","3316.191236","X","International reliable sources",""
"MK","Macro Indicators","18","Bhutan","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","3.420351","Fc","Calculated data",""
"MK","Macro Indicators","18","Bhutan","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","2.240715","Fc","Calculated data",""
"MK","Macro Indicators","18","Bhutan","6110","Value US$","22011","Gross National Income","2019","2019","millions","2301.010015","X","International reliable sources",""
"MK","Macro Indicators","18","Bhutan","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","3015.376934","X","International reliable sources",""
"MK","Macro Indicators","18","Bhutan","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","3.338203","Fc","Calculated data",""
"MK","Macro Indicators","18","Bhutan","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","2.159504","Fc","Calculated data",""
"MK","Macro Indicators","19","Bolivia (Plurinational State of)","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","40895.322844","X","International reliable sources",""
"MK","Macro Indicators","19","Bolivia (Plurinational State of)","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","3552.06876","X","International reliable sources",""
"MK","Macro Indicators","19","Bolivia (Plurinational State of)","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","1.508341","Fc","Calculated data",""
"MK","Macro Indicators","19","Bolivia (Plurinational State of)","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","0.098028","Fc","Calculated data",""
"MK","Macro Indicators","19","Bolivia (Plurinational State of)","6110","Value US$","22011","Gross National Income","2019","2019","millions","39930.200424","X","International reliable sources",""
"MK","Macro Indicators","19","Bolivia (Plurinational State of)","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","3468.240563","X","International reliable sources",""
"MK","Macro Indicators","19","Bolivia (Plurinational State of)","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","1.508341","Fc","Calculated data",""
"MK","Macro Indicators","19","Bolivia (Plurinational State of)","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","0.098028","Fc","Calculated data",""
"MK","Macro Indicators","80","Bosnia and Herzegovina","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","20202.636114","X","International reliable sources",""
"MK","Macro Indicators","80","Bosnia and Herzegovina","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","6120.156351","X","International reliable sources",""
"MK","Macro Indicators","80","Bosnia and Herzegovina","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","0.093877","Fc","Calculated data",""
"MK","Macro Indicators","80","Bosnia and Herzegovina","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","0.789016","Fc","Calculated data",""
"MK","Macro Indicators","80","Bosnia and Herzegovina","6110","Value US$","22011","Gross National Income","2019","2019","millions","20190.04381","X","International reliable sources",""
"MK","Macro Indicators","80","Bosnia and Herzegovina","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","6116.341657","X","International reliable sources",""
"MK","Macro Indicators","80","Bosnia and Herzegovina","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","0.630264","Fc","Calculated data",""
"MK","Macro Indicators","80","Bosnia and Herzegovina","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","1.329127","Fc","Calculated data",""
"MK","Macro Indicators","20","Botswana","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","18362.405202","X","International reliable sources",""
